S.No,Party Name,Date,Due Date,Total Amount,Balance,Type,Status
3838,Business Partner 05,19/06/2024,14/07/2024,390797,284051.9,Sales Invoice,Paid
3839,Business Partner 23,02/12/2024,02/12/2024,461665,96089.72,Sales Invoice,Paid
3840,Business Partner 04,22/01/2024,24/01/2024,288594,149779.46,Sales Invoice,Partially Paid
3841,Business Partner 48,01/01/2026,21/02/2026,238731,57121.81,Purchase Order,Order Overdue
3842,Business Partner 01,04/01/2024,10/03/2024,274202,156771.51,Debit Note,Paid
3843,Business Partner 08,15/09/2024,30/09/2024,213962,170810.4,Purchase Order,Order Overdue
3844,Business Partner 06,28/01/2025,10/04/2025,395772,293418.44,Sales Invoice,Pending
3845,Business Partner 09,02/12/2025,03/02/2026,106665,99605.78,Debit Note,Order Overdue
3846,Business Partner 50,14/08/2025,11/10/2025,388979,278649.33,Purchase Order,Overdue
3847,Business Partner 01,08/07/2025,20/08/2025,158392,86058.6,Purchase Order,Order Overdue
3848,Business Partner 28,06/05/2025,08/06/2025,204690,50137.56,Purchase Order,Paid
3849,Business Partner 39,15/04/2026,29/06/2026,271034,75165.87,Sales Invoice,Pending
3850,Business Partner 28,01/05/2024,13/05/2024,380066,317367.52,Credit Note,Paid
3851,Business Partner 07,19/06/2025,29/06/2025,167902,15525.38,Debit Note,Order Overdue
3852,Business Partner 42,13/01/2025,11/04/2025,136862,45126.97,Sales Invoice,Order Overdue
3853,Business Partner 20,02/06/2024,04/06/2024,100149,63686.95,Purchase Order,Paid
3854,Business Partner 24,27/07/2024,06/09/2024,400842,95870.79,Credit Note,Overdue
3855,Business Partner 02,02/04/2025,13/05/2025,197640,186463.39,Debit Note,Order Overdue
3856,Business Partner 17,17/10/2024,30/12/2024,467915,329437.26,Credit Note,Overdue
3857,Business Partner 29,31/05/2024,06/06/2024,51064,2990.32,Sales Invoice,Partially Paid
3858,Business Partner 42,08/01/2026,10/01/2026,425732,59295.59,Debit Note,Paid
3859,Business Partner 45,03/06/2025,22/06/2025,483686,66638.76,Sales Invoice,Order Overdue
3860,Business Partner 29,02/09/2025,08/10/2025,1591,237.52,Credit Note,Pending
3861,Business Partner 03,27/06/2025,10/08/2025,263561,233842.54,Credit Note,Partially Paid
3862,Business Partner 45,28/11/2024,15/12/2024,246140,55972.61,Payment,Pending
3863,Business Partner 27,15/11/2024,05/12/2024,499616,464918.73,Payment,Overdue
3864,Business Partner 02,09/01/2024,15/02/2024,46712,7449.18,Purchase Order,Order Overdue
3865,Business Partner 09,18/07/2025,15/10/2025,175071,18764.61,Purchase Order,Overdue
3866,Business Partner 05,05/10/2025,27/10/2025,413248,260985.4,Payment,Partially Paid
3867,Business Partner 37,19/01/2024,24/02/2024,349944,303148.64,Credit Note,Paid
3868,Business Partner 03,03/03/2024,01/05/2024,316419,54706.64,Purchase Order,Partially Paid
3869,Business Partner 28,22/02/2025,25/02/2025,29197,2489.13,Debit Note,Pending
3870,Business Partner 34,26/05/2024,23/07/2024,46437,1375.68,Sales Invoice,Pending
3871,Business Partner 09,04/08/2025,23/10/2025,224984,15443.75,Purchase Order,Pending
3872,Business Partner 02,01/11/2025,04/12/2025,497240,264706.51,Payment,Paid
3873,Business Partner 32,23/01/2026,18/03/2026,229183,172215.0,Sales Invoice,Partially Paid
3874,Business Partner 20,25/01/2025,30/01/2025,459919,140487.55,Sales Invoice,Pending
3875,Business Partner 29,05/03/2025,02/04/2025,447761,283886.33,Credit Note,Paid
3876,Business Partner 07,28/09/2025,09/10/2025,175533,41530.73,Payment,Overdue
3877,Business Partner 47,31/01/2026,21/04/2026,108456,104555.8,Payment,Overdue
3878,Business Partner 10,22/09/2024,22/10/2024,184355,102931.71,Credit Note,Paid
3879,Business Partner 32,23/02/2025,02/05/2025,89645,14628.44,Payment,Paid
3880,Business Partner 48,26/11/2025,12/12/2025,434088,199180.11,Sales Invoice,Overdue
3881,Business Partner 29,04/01/2024,09/03/2024,206512,174978.45,Credit Note,Partially Paid
3882,Business Partner 45,12/03/2026,02/05/2026,81028,69353.95,Payment,Paid
3883,Business Partner 40,19/06/2026,14/08/2026,464404,463377.57,Debit Note,Overdue
3884,Business Partner 33,26/05/2026,29/06/2026,415243,258922.83,Credit Note,Overdue
3885,Business Partner 06,09/11/2025,29/11/2025,304133,18275.21,Sales Invoice,Partially Paid
3886,Business Partner 01,07/02/2024,30/03/2024,489976,53335.41,Debit Note,Partially Paid
3887,Business Partner 33,02/08/2025,02/10/2025,158987,154782.48,Sales Invoice,Pending
3888,Business Partner 21,03/06/2026,07/07/2026,426561,89353.82,Purchase Order,Partially Paid
3889,Business Partner 47,05/03/2025,22/04/2025,288144,43901.73,Purchase Order,Pending
3890,Business Partner 06,10/12/2024,01/03/2025,227924,192248.57,Debit Note,Partially Paid
3891,Business Partner 11,31/12/2024,01/02/2025,302377,237563.92,Purchase Order,Overdue
3892,Business Partner 43,08/12/2025,12/01/2026,420970,119157.62,Purchase Order,Paid
3893,Business Partner 07,17/11/2025,15/02/2026,322104,158815.83,Sales Invoice,Order Overdue
3894,Business Partner 36,23/03/2024,29/05/2024,77940,36132.93,Purchase Order,Overdue
3895,Business Partner 15,10/11/2024,08/12/2024,177875,120451.3,Payment,Order Overdue
3896,Business Partner 33,05/04/2026,27/04/2026,380592,24652.04,Debit Note,Partially Paid
3897,Business Partner 38,31/03/2026,23/05/2026,282458,6552.77,Credit Note,Overdue
3898,Business Partner 17,05/06/2026,07/06/2026,183093,155032.58,Purchase Order,Paid
3899,Business Partner 12,03/04/2024,23/04/2024,428387,376193.47,Payment,Pending
3900,Business Partner 43,06/02/2026,13/03/2026,44128,35397.15,Sales Invoice,Pending
3901,Business Partner 02,01/05/2024,30/07/2024,211474,10776.23,Debit Note,Order Overdue
3902,Business Partner 28,05/01/2024,04/02/2024,261398,37191.08,Debit Note,Overdue
3903,Business Partner 04,29/02/2024,25/03/2024,86540,5407.19,Sales Invoice,Paid
3904,Business Partner 39,02/04/2025,11/06/2025,435148,257706.25,Debit Note,Paid
3905,Business Partner 06,01/04/2024,06/05/2024,18004,16894.2,Sales Invoice,Partially Paid
3906,Business Partner 31,12/04/2026,26/04/2026,127197,13602.17,Credit Note,Paid
3907,Business Partner 38,22/04/2026,20/06/2026,400469,261198.52,Credit Note,Paid
3908,Business Partner 50,06/02/2026,19/02/2026,464798,292981.21,Credit Note,Pending
3909,Business Partner 49,29/12/2024,26/03/2025,376017,231941.96,Purchase Order,Order Overdue
3910,Business Partner 17,10/04/2024,23/06/2024,340746,97076.95,Credit Note,Order Overdue
3911,Business Partner 22,07/06/2026,23/07/2026,484007,4562.05,Purchase Order,Paid
3912,Business Partner 14,24/03/2025,06/05/2025,118155,39900.61,Sales Invoice,Paid
3913,Business Partner 02,28/04/2025,19/05/2025,293611,155168.87,Credit Note,Order Overdue
3914,Business Partner 48,04/01/2024,04/03/2024,73142,57006.12,Debit Note,Paid
3915,Business Partner 46,20/08/2024,18/10/2024,59694,56440.28,Purchase Order,Overdue
3916,Business Partner 02,19/07/2025,15/10/2025,269427,29924.77,Debit Note,Overdue
3917,Business Partner 10,12/05/2024,06/06/2024,355862,211994.78,Debit Note,Overdue
3918,Business Partner 17,07/05/2025,08/07/2025,407267,49122.29,Sales Invoice,Overdue
3919,Business Partner 22,07/05/2026,05/06/2026,22138,9904.73,Credit Note,Order Overdue
3920,Business Partner 07,08/01/2024,31/01/2024,419522,120317.22,Purchase Order,Order Overdue
3921,Business Partner 24,14/03/2026,28/04/2026,245067,212505.34,Debit Note,Paid
3922,Business Partner 01,22/06/2024,13/09/2024,135686,90791.53,Payment,Pending
3923,Business Partner 50,18/05/2024,14/06/2024,460454,181999.68,Sales Invoice,Pending
3924,Business Partner 08,04/02/2025,19/04/2025,20949,16535.93,Credit Note,Order Overdue
3925,Business Partner 43,20/02/2026,09/04/2026,290137,102247.64,Credit Note,Partially Paid
3926,Business Partner 26,13/11/2025,12/01/2026,11445,4451.34,Credit Note,Partially Paid
3927,Business Partner 05,23/03/2025,10/06/2025,362807,42954.23,Debit Note,Partially Paid
3928,Business Partner 45,05/02/2026,23/02/2026,47893,15414.56,Purchase Order,Overdue
3929,Business Partner 20,23/04/2026,11/05/2026,204630,14876.53,Credit Note,Paid
3930,Business Partner 14,21/07/2024,05/09/2024,25337,24810.63,Debit Note,Partially Paid
3931,Business Partner 11,15/10/2024,11/11/2024,369478,276390.83,Purchase Order,Order Overdue
3932,Business Partner 35,05/06/2026,03/07/2026,303979,41631.0,Debit Note,Partially Paid
3933,Business Partner 33,08/03/2024,05/04/2024,13365,136.58,Purchase Order,Overdue
3934,Business Partner 39,08/04/2026,17/04/2026,427795,6618.11,Sales Invoice,Paid
3935,Business Partner 10,13/04/2024,30/05/2024,478936,34132.93,Credit Note,Partially Paid
3936,Business Partner 49,06/04/2026,15/06/2026,204494,142795.27,Credit Note,Pending
3937,Business Partner 15,14/11/2025,31/01/2026,453199,149553.33,Payment,Order Overdue
3938,Business Partner 06,05/04/2024,05/04/2024,171840,2934.34,Purchase Order,Partially Paid
3939,Business Partner 32,06/03/2025,08/04/2025,404024,401448.39,Credit Note,Order Overdue
3940,Business Partner 38,17/03/2026,10/05/2026,449540,431179.08,Payment,Overdue
3941,Business Partner 16,19/07/2025,31/08/2025,169271,126015.49,Purchase Order,Pending
3942,Business Partner 35,27/02/2026,08/03/2026,475917,213705.82,Credit Note,Partially Paid
3943,Business Partner 07,17/05/2024,15/06/2024,311522,115922.32,Debit Note,Overdue
3944,Business Partner 33,10/04/2024,23/05/2024,190939,49567.26,Credit Note,Paid
3945,Business Partner 49,18/11/2025,02/02/2026,243147,39092.24,Credit Note,Paid
3946,Business Partner 10,29/10/2024,05/12/2024,229134,173770.27,Payment,Partially Paid
3947,Business Partner 28,02/03/2026,30/04/2026,246662,34864.79,Payment,Paid
3948,Business Partner 29,14/04/2024,17/04/2024,242535,49373.87,Debit Note,Overdue
3949,Business Partner 08,05/01/2025,23/02/2025,423318,111575.81,Credit Note,Order Overdue
3950,Business Partner 42,09/02/2026,10/03/2026,253263,168313.39,Purchase Order,Pending
3951,Business Partner 07,13/05/2025,22/06/2025,161901,158452.53,Debit Note,Paid
3952,Business Partner 50,09/07/2024,03/09/2024,156454,128501.61,Payment,Order Overdue
3953,Business Partner 21,23/12/2025,19/02/2026,353174,63948.47,Purchase Order,Pending
3954,Business Partner 37,25/06/2024,06/08/2024,137084,105633.89,Credit Note,Order Overdue
3955,Business Partner 26,31/05/2024,27/07/2024,98484,54658.67,Payment,Paid
3956,Business Partner 29,02/03/2025,25/04/2025,132424,18023.8,Credit Note,Overdue
3957,Business Partner 44,30/07/2024,17/08/2024,251732,238036.62,Sales Invoice,Partially Paid
3958,Business Partner 14,14/01/2026,25/03/2026,483788,193944.19,Credit Note,Pending
3959,Business Partner 23,10/09/2025,26/09/2025,115236,102919.17,Credit Note,Order Overdue
3960,Business Partner 31,13/09/2025,19/09/2025,214090,191807.69,Purchase Order,Partially Paid
3961,Business Partner 34,19/06/2025,08/08/2025,311022,211315.64,Sales Invoice,Paid
3962,Business Partner 45,08/12/2024,24/01/2025,408592,96148.66,Purchase Order,Partially Paid
3963,Business Partner 02,04/12/2025,09/02/2026,495713,413545.54,Sales Invoice,Overdue
3964,Business Partner 13,14/08/2025,06/10/2025,390128,32695.85,Payment,Order Overdue
3965,Business Partner 29,15/03/2025,16/04/2025,408115,3605.52,Sales Invoice,Partially Paid
3966,Business Partner 27,06/04/2025,13/04/2025,387266,183444.02,Debit Note,Overdue
3967,Business Partner 32,28/12/2025,09/02/2026,181492,46224.39,Credit Note,Paid
3968,Business Partner 38,22/12/2025,25/12/2025,127479,105957.18,Debit Note,Partially Paid
3969,Business Partner 10,15/05/2026,07/06/2026,251010,52726.63,Credit Note,Pending
3970,Business Partner 30,16/01/2026,11/02/2026,95509,5695.8,Sales Invoice,Pending
3971,Business Partner 42,30/05/2024,30/07/2024,55152,5869.1,Purchase Order,Overdue
3972,Business Partner 24,28/10/2025,29/12/2025,224308,136098.27,Credit Note,Paid
3973,Business Partner 28,17/06/2024,24/06/2024,409649,120653.1,Debit Note,Order Overdue
3974,Business Partner 24,26/04/2024,01/06/2024,141616,118553.79,Credit Note,Order Overdue
3975,Business Partner 36,26/08/2024,30/08/2024,197501,34705.16,Purchase Order,Overdue
3976,Business Partner 38,09/01/2024,04/02/2024,307453,263326.7,Sales Invoice,Pending
3977,Business Partner 02,03/07/2024,24/08/2024,299130,237722.63,Purchase Order,Paid
3978,Business Partner 18,07/07/2024,01/10/2024,209415,56256.75,Purchase Order,Paid
3979,Business Partner 28,13/07/2025,16/07/2025,456266,32601.51,Credit Note,Paid
3980,Business Partner 14,05/04/2026,15/04/2026,210747,194698.81,Credit Note,Paid
3981,Business Partner 22,02/12/2025,03/12/2025,494544,16269.57,Debit Note,Pending
3982,Business Partner 14,08/07/2024,29/08/2024,438849,201360.6,Payment,Partially Paid
3983,Business Partner 25,14/08/2025,11/09/2025,448118,50696.69,Credit Note,Pending
3984,Business Partner 37,12/10/2024,07/12/2024,228137,223320.55,Debit Note,Paid
3985,Business Partner 35,15/08/2024,26/10/2024,18045,13379.16,Payment,Partially Paid
3986,Business Partner 04,09/06/2024,23/07/2024,323847,235931.47,Debit Note,Partially Paid
3987,Business Partner 07,16/12/2025,03/03/2026,115810,85486.32,Sales Invoice,Pending
3988,Business Partner 30,18/12/2025,07/01/2026,398468,196546.85,Debit Note,Paid
3989,Business Partner 11,09/08/2025,24/08/2025,432093,167486.46,Payment,Paid
3990,Business Partner 20,01/03/2026,12/05/2026,429397,184313.49,Sales Invoice,Overdue
3991,Business Partner 46,05/03/2025,01/05/2025,208163,134448.66,Sales Invoice,Overdue
3992,Business Partner 11,20/07/2025,10/10/2025,160238,57028.34,Sales Invoice,Order Overdue
3993,Business Partner 32,28/09/2024,16/12/2024,393649,246661.18,Payment,Paid
3994,Business Partner 29,10/01/2026,10/01/2026,266114,228635.16,Credit Note,Partially Paid
3995,Business Partner 01,04/03/2025,06/05/2025,191519,144316.72,Purchase Order,Pending
3996,Business Partner 03,12/07/2025,13/07/2025,349707,249994.49,Purchase Order,Order Overdue
3997,Business Partner 11,01/09/2025,06/09/2025,87981,16379.49,Purchase Order,Partially Paid
3998,Business Partner 50,25/04/2026,02/06/2026,463483,377204.75,Debit Note,Paid
3999,Business Partner 18,22/09/2024,30/11/2024,301114,275178.97,Debit Note,Pending
4000,Business Partner 12,09/06/2024,23/07/2024,101887,25193.21,Sales Invoice,Paid
4001,Business Partner 11,07/09/2024,22/10/2024,36250,1476.72,Payment,Partially Paid
4002,Business Partner 23,23/05/2026,30/05/2026,60518,37411.73,Sales Invoice,Partially Paid
4003,Business Partner 19,02/12/2024,27/02/2025,471528,15744.44,Credit Note,Order Overdue
4004,Business Partner 33,12/04/2026,21/06/2026,424905,238058.18,Sales Invoice,Order Overdue
4005,Business Partner 13,12/02/2026,15/03/2026,102055,89313.13,Payment,Pending
4006,Business Partner 26,16/06/2024,30/08/2024,224742,29724.98,Debit Note,Paid
4007,Business Partner 23,31/07/2025,07/10/2025,339223,78187.99,Sales Invoice,Partially Paid
4008,Business Partner 49,03/10/2024,14/10/2024,85773,75454.84,Purchase Order,Overdue
4009,Business Partner 50,07/12/2024,21/02/2025,206951,64787.44,Debit Note,Order Overdue
4010,Business Partner 40,17/05/2024,24/05/2024,62815,8960.12,Credit Note,Overdue
4011,Business Partner 13,18/03/2024,18/05/2024,242060,74794.12,Payment,Partially Paid
4012,Business Partner 11,08/03/2024,09/03/2024,202290,36867.83,Payment,Paid
4013,Business Partner 37,27/07/2024,22/09/2024,180252,112140.92,Purchase Order,Order Overdue
4014,Business Partner 09,04/07/2024,23/08/2024,235009,17863.86,Sales Invoice,Paid
4015,Business Partner 31,16/01/2025,14/02/2025,379822,152225.92,Credit Note,Partially Paid
4016,Business Partner 31,22/11/2024,11/12/2024,351108,299511.64,Credit Note,Partially Paid
4017,Business Partner 25,15/04/2024,03/05/2024,368640,9365.24,Debit Note,Overdue
4018,Business Partner 08,04/04/2025,03/05/2025,14867,67.04,Debit Note,Pending
4019,Business Partner 43,29/01/2026,07/04/2026,474110,127336.32,Sales Invoice,Partially Paid
4020,Business Partner 04,14/07/2024,04/08/2024,370701,39255.28,Payment,Pending
4021,Business Partner 22,29/12/2024,30/12/2024,167616,15770.51,Sales Invoice,Pending
4022,Business Partner 07,18/08/2025,07/11/2025,56085,16798.17,Purchase Order,Order Overdue
4023,Business Partner 29,11/05/2025,25/07/2025,242694,154768.69,Payment,Overdue
4024,Business Partner 39,09/05/2024,25/06/2024,364029,269836.13,Sales Invoice,Pending
4025,Business Partner 06,28/05/2025,05/08/2025,124871,88433.14,Payment,Partially Paid
4026,Business Partner 45,06/07/2025,20/07/2025,310697,56028.82,Purchase Order,Partially Paid
4027,Business Partner 50,09/07/2025,08/09/2025,259284,10746.63,Credit Note,Overdue
4028,Business Partner 37,22/07/2024,17/08/2024,462702,108493.51,Sales Invoice,Order Overdue
4029,Business Partner 38,25/07/2025,18/09/2025,186750,17792.61,Debit Note,Paid
4030,Business Partner 11,14/12/2024,11/02/2025,376606,204460.04,Payment,Overdue
4031,Business Partner 18,28/02/2024,04/05/2024,175872,111949.53,Payment,Order Overdue
4032,Business Partner 34,15/07/2024,22/09/2024,91070,88580.19,Payment,Overdue
4033,Business Partner 46,23/03/2026,23/05/2026,71766,29031.56,Sales Invoice,Paid
4034,Business Partner 48,04/06/2025,08/07/2025,209613,101086.92,Debit Note,Pending
4035,Business Partner 24,08/11/2024,05/12/2024,453074,353460.91,Payment,Partially Paid
4036,Business Partner 06,15/03/2026,28/05/2026,206410,34836.44,Sales Invoice,Pending
4037,Business Partner 12,09/06/2026,23/07/2026,5520,4167.5,Debit Note,Pending
4038,Business Partner 23,16/01/2026,10/04/2026,490593,311835.41,Sales Invoice,Partially Paid
4039,Business Partner 29,25/06/2024,03/09/2024,216581,40869.47,Payment,Pending
4040,Business Partner 42,14/01/2024,25/01/2024,447211,422956.06,Sales Invoice,Pending
4041,Business Partner 18,30/03/2024,05/05/2024,299703,171849.0,Debit Note,Paid
4042,Business Partner 01,12/09/2025,10/12/2025,344473,143819.35,Sales Invoice,Overdue
4043,Business Partner 03,17/05/2024,08/07/2024,209929,51.79,Payment,Paid
4044,Business Partner 38,04/01/2025,28/02/2025,102819,19032.98,Credit Note,Partially Paid
4045,Business Partner 42,10/02/2024,12/02/2024,377007,87314.57,Purchase Order,Paid
4046,Business Partner 48,17/02/2026,27/02/2026,302424,66414.13,Payment,Pending
4047,Business Partner 35,26/09/2025,18/10/2025,71500,11463.03,Credit Note,Paid
4048,Business Partner 06,29/08/2025,26/09/2025,201446,171667.84,Purchase Order,Overdue
4049,Business Partner 02,25/06/2025,13/07/2025,242908,118017.71,Purchase Order,Partially Paid
4050,Business Partner 26,14/10/2024,04/12/2024,59142,54615.8,Credit Note,Paid
4051,Business Partner 31,22/03/2025,07/04/2025,205955,57951.66,Debit Note,Partially Paid
4052,Business Partner 01,16/01/2024,29/03/2024,171689,39191.31,Sales Invoice,Pending
4053,Business Partner 18,09/03/2025,20/03/2025,234147,193443.44,Sales Invoice,Pending
4054,Business Partner 44,23/04/2024,19/05/2024,455739,403811.67,Credit Note,Paid
4055,Business Partner 01,20/10/2025,07/01/2026,136777,38723.52,Purchase Order,Overdue
4056,Business Partner 20,20/05/2024,14/06/2024,376084,37285.64,Payment,Partially Paid
4057,Business Partner 19,29/04/2024,24/05/2024,242050,43248.8,Credit Note,Overdue
4058,Business Partner 34,05/01/2025,07/03/2025,499609,209947.33,Purchase Order,Overdue
4059,Business Partner 45,01/08/2024,02/09/2024,317882,92922.47,Debit Note,Paid
4060,Business Partner 18,14/03/2025,22/03/2025,249188,81682.28,Payment,Paid
4061,Business Partner 33,17/07/2025,11/09/2025,11366,11343.33,Credit Note,Order Overdue
4062,Business Partner 40,01/08/2025,25/08/2025,91405,27401.37,Sales Invoice,Paid
4063,Business Partner 11,20/10/2024,30/12/2024,115920,51618.75,Payment,Partially Paid
4064,Business Partner 05,26/02/2026,30/04/2026,89194,19535.65,Payment,Overdue
4065,Business Partner 50,09/12/2024,03/01/2025,263659,217232.53,Debit Note,Partially Paid
4066,Business Partner 29,06/08/2025,07/08/2025,87773,31504.84,Payment,Order Overdue
4067,Business Partner 24,02/02/2026,02/03/2026,199443,167944.31,Sales Invoice,Overdue
4068,Business Partner 36,04/08/2025,09/08/2025,148258,102033.29,Sales Invoice,Pending
4069,Business Partner 34,20/03/2025,18/06/2025,140576,8887.11,Purchase Order,Paid
4070,Business Partner 39,13/12/2024,11/01/2025,263594,230485.78,Payment,Overdue
4071,Business Partner 48,01/10/2024,23/10/2024,48904,19112.41,Payment,Pending
4072,Business Partner 21,09/03/2026,23/05/2026,317358,5078.82,Purchase Order,Order Overdue
4073,Business Partner 50,13/08/2024,13/10/2024,280776,21802.98,Credit Note,Paid
4074,Business Partner 20,15/05/2025,05/08/2025,333970,137116.46,Purchase Order,Partially Paid
4075,Business Partner 15,11/04/2025,14/06/2025,476282,248881.3,Payment,Pending
4076,Business Partner 30,22/02/2024,12/04/2024,382546,143522.26,Debit Note,Overdue
4077,Business Partner 42,26/05/2026,09/07/2026,461571,191846.35,Credit Note,Overdue
4078,Business Partner 09,26/11/2025,14/01/2026,396847,92798.72,Debit Note,Paid
4079,Business Partner 24,05/11/2025,13/12/2025,463562,321715.19,Debit Note,Partially Paid
4080,Business Partner 34,03/02/2026,21/04/2026,300501,10084.23,Purchase Order,Pending
4081,Business Partner 29,01/05/2025,29/07/2025,88523,51065.79,Purchase Order,Paid
4082,Business Partner 50,13/06/2025,22/07/2025,176385,7233.5,Credit Note,Order Overdue
4083,Business Partner 25,21/01/2024,27/02/2024,124830,45355.85,Credit Note,Paid
4084,Business Partner 22,07/02/2024,07/03/2024,371088,92021.9,Payment,Overdue
4085,Business Partner 38,05/06/2025,06/07/2025,111768,3023.3,Credit Note,Overdue
4086,Business Partner 43,04/08/2024,06/08/2024,429565,173781.17,Purchase Order,Order Overdue
4087,Business Partner 09,06/07/2024,29/07/2024,221531,90896.96,Credit Note,Order Overdue
4088,Business Partner 42,14/10/2024,24/10/2024,323074,5215.93,Debit Note,Overdue
4089,Business Partner 33,24/10/2025,27/12/2025,226919,74678.32,Debit Note,Partially Paid
4090,Business Partner 44,04/09/2025,09/09/2025,204009,96032.79,Sales Invoice,Order Overdue
4091,Business Partner 27,28/07/2024,04/09/2024,357378,290622.11,Debit Note,Order Overdue
4092,Business Partner 33,13/02/2026,15/04/2026,210612,5069.51,Payment,Partially Paid
4093,Business Partner 02,14/05/2026,07/08/2026,334866,101358.35,Sales Invoice,Pending
4094,Business Partner 08,12/12/2025,08/02/2026,31766,8334.18,Debit Note,Overdue
4095,Business Partner 49,17/12/2025,26/12/2025,286771,247861.5,Credit Note,Paid
4096,Business Partner 27,04/02/2025,02/03/2025,98946,83009.35,Purchase Order,Overdue
4097,Business Partner 49,15/06/2024,27/08/2024,489076,470568.05,Purchase Order,Overdue
4098,Business Partner 13,09/04/2026,22/06/2026,305797,54221.28,Debit Note,Order Overdue
4099,Business Partner 06,20/11/2025,31/01/2026,429029,230177.4,Sales Invoice,Overdue
4100,Business Partner 08,29/07/2025,17/08/2025,220508,154890.98,Sales Invoice,Pending
4101,Business Partner 30,02/04/2024,30/05/2024,387682,354504.22,Purchase Order,Order Overdue
4102,Business Partner 28,22/04/2026,31/05/2026,321206,84289.12,Credit Note,Order Overdue
4103,Business Partner 19,10/06/2024,13/06/2024,109132,78352.77,Debit Note,Order Overdue
4104,Business Partner 44,11/11/2025,11/12/2025,464615,40467.05,Sales Invoice,Partially Paid
4105,Business Partner 20,04/12/2025,23/02/2026,316361,219025.89,Purchase Order,Partially Paid
4106,Business Partner 23,04/03/2026,15/05/2026,321075,314138.1,Credit Note,Paid
4107,Business Partner 25,05/09/2025,27/09/2025,34297,21158.86,Debit Note,Overdue
4108,Business Partner 13,03/01/2024,19/02/2024,136509,135994.93,Debit Note,Pending
4109,Business Partner 18,25/08/2024,04/11/2024,479393,245751.08,Payment,Pending
4110,Business Partner 04,15/12/2025,02/01/2026,411417,358576.77,Purchase Order,Overdue
4111,Business Partner 47,05/07/2025,19/07/2025,218204,102877.94,Purchase Order,Overdue
4112,Business Partner 41,20/01/2025,12/04/2025,143123,94936.88,Purchase Order,Partially Paid
4113,Business Partner 42,24/06/2025,06/09/2025,453826,342913.3,Purchase Order,Paid
4114,Business Partner 25,28/10/2025,29/11/2025,463675,358142.01,Sales Invoice,Order Overdue
4115,Business Partner 06,02/12/2024,02/12/2024,105707,99309.86,Purchase Order,Paid
4116,Business Partner 31,25/02/2024,11/05/2024,82828,34147.19,Payment,Paid
4117,Business Partner 29,19/06/2026,25/06/2026,107738,3349.34,Debit Note,Paid
4118,Business Partner 34,17/10/2025,25/10/2025,239163,38106.8,Sales Invoice,Order Overdue
4119,Business Partner 11,07/09/2025,30/10/2025,289498,50330.17,Payment,Partially Paid
4120,Business Partner 34,30/11/2024,03/12/2024,347299,295433.01,Credit Note,Pending
4121,Business Partner 34,03/06/2025,26/08/2025,304800,294418.76,Debit Note,Pending
4122,Business Partner 42,24/10/2025,22/12/2025,332007,91504.48,Purchase Order,Overdue
4123,Business Partner 35,03/01/2024,26/02/2024,492288,291600.06,Purchase Order,Order Overdue
4124,Business Partner 25,29/05/2026,12/06/2026,90910,72710.64,Credit Note,Overdue
4125,Business Partner 09,16/01/2024,27/03/2024,18350,9732.54,Purchase Order,Pending
4126,Business Partner 40,02/05/2024,29/06/2024,30789,19569.57,Sales Invoice,Overdue
4127,Business Partner 13,19/11/2025,22/12/2025,148120,39892.2,Payment,Order Overdue
4128,Business Partner 25,07/10/2025,29/12/2025,97406,62527.35,Payment,Order Overdue
4129,Business Partner 44,21/04/2026,22/06/2026,472854,2775.5,Sales Invoice,Paid
4130,Business Partner 48,03/02/2026,12/03/2026,425938,281938.56,Sales Invoice,Partially Paid
4131,Business Partner 11,04/11/2025,21/12/2025,113695,46367.31,Purchase Order,Order Overdue
4132,Business Partner 06,08/06/2024,06/07/2024,241401,87925.94,Purchase Order,Pending
4133,Business Partner 36,29/09/2024,10/12/2024,237636,96258.99,Purchase Order,Pending
4134,Business Partner 40,20/01/2025,13/04/2025,400006,179546.42,Sales Invoice,Partially Paid
4135,Business Partner 16,19/01/2025,28/02/2025,70708,59710.19,Payment,Paid
4136,Business Partner 23,29/12/2024,26/01/2025,367163,280548.62,Payment,Order Overdue
4137,Business Partner 49,22/03/2024,19/06/2024,280334,228514.97,Payment,Partially Paid
4138,Business Partner 44,17/01/2024,17/02/2024,459072,183678.29,Payment,Order Overdue
4139,Business Partner 35,30/05/2024,14/06/2024,185695,162349.11,Debit Note,Overdue
4140,Business Partner 32,11/09/2024,16/11/2024,194692,53821.68,Credit Note,Overdue
4141,Business Partner 10,21/07/2024,06/08/2024,122016,52209.12,Credit Note,Overdue
4142,Business Partner 30,10/09/2025,28/11/2025,278316,113484.08,Debit Note,Paid
4143,Business Partner 09,16/01/2025,31/03/2025,163745,92834.84,Credit Note,Pending
4144,Business Partner 09,05/02/2026,11/02/2026,499763,128225.34,Debit Note,Order Overdue
4145,Business Partner 25,07/07/2024,28/07/2024,216340,121945.57,Sales Invoice,Paid
4146,Business Partner 25,02/03/2025,21/04/2025,39100,37790.09,Debit Note,Order Overdue
4147,Business Partner 27,30/06/2024,24/07/2024,468948,161671.06,Debit Note,Order Overdue
4148,Business Partner 39,04/11/2025,23/11/2025,309274,282927.92,Debit Note,Order Overdue
4149,Business Partner 16,08/08/2024,18/09/2024,395000,218374.18,Credit Note,Overdue
4150,Business Partner 36,11/06/2025,09/08/2025,373305,184947.32,Debit Note,Pending
